Name,Price,PreviousPrice,Offer,Retailer,DateScraped
Jameson Irish Whiskey 70Cl,23.00,,Only 23.00 Jameson Irish Whiskey,Tesco - IRL,20181219
West Coast Cooler Rose 4X250ml,10.00,,,Tesco - IRL,20181219
Smirnoff Red Label Vodka 70Cl,17.00,19.99,SAVE 2.99 Was  19.99 Now  17.00,Tesco - IRL,20181219
Jack Daniel's Tennessee Whiskey 70Cl,25.00,,Only 25.00 Jack Daniels Tennessee...,Tesco - IRL,20181219
Baileys Original Irish Cream Liqueur 70Cl,13.00,,Only 13.00 Baileys Original Irish...,Tesco - IRL,20181219
Hennessy VS Cognac,30.00,36.00,SAVE 6.00 Was  36.00 Now  30.00,Tesco - IRL,20181219
Tesco Imperial Vodka 1L,23.99,,,Tesco - IRL,20181219
West Coast Cooler 750Ml,4.00,5.99,SAVE 1.99 Was  5.99 Now  4.00,Tesco - IRL,20181219
Tia Maria Coffee Liqueur 70Cl,18.00,23.49,SAVE 5.49 Was  23.49 Now  18.00,Tesco - IRL,20181219
Tesco Ruby Port 75Cl,7.49,,,Tesco - IRL,20181219
Paddy Irish Whiskey 70Cl,21.00,,Only 21.00 Paddy Irish Whiskey,Tesco - IRL,20181219
Tesco Napoleon Brandy 70Cl,15.59,,,Tesco - IRL,20181219
Hennessy Cognac 1 Litre,50.00,,,Tesco - IRL,20181219
Beefeater Dry London Gin 70Cl,17.00,27.49,SAVE 10.49 Was  27.49 Now  17.00,Tesco - IRL,20181219
Bombay Sapphire Gin 70Cl,25.00,,Only 25.00 Bombay Sapphire Gin,Tesco - IRL,20181219
Bushmill Original 70Cl Irish Whiskey,20.00,,,Tesco - IRL,20181219
Gordons Gin 70Cl,17.00,,Only 17.00 Gordons Gin,Tesco - IRL,20181219
West Coast Cooler 4X250ml,10.00,,,Tesco - IRL,20181219
Smirnoff Ice 4X275ml Bottles,9.99,,,Tesco - IRL,20181219
Stolichnaya Premium Vodka 70Cl,20.00,23.90,SAVE 3.90 Was  23.90 Now  20.00,Tesco - IRL,20181219
