Name,Price,Offer,PreviousPrice,Retailer,DateScraped
Carling Cans 8 Pack (500 Millilitre),9.50,"WAS 10.50, NOW 9.50, SAVE 1.00",10.50,SuperValu,20200407
Carlsberg Cans 12 Pack (500 Millilitre),15.00,"WAS 19.00, NOW 15.00, SAVE 4.00",19.00,SuperValu,20200407
Carlsberg Lager Can (500 Millilitre),2.39,,,SuperValu,20200407
Carlsberg Lager Cans 8 Pack (500 Millilitre),12.50,"WAS 14.00, NOW 12.50, SAVE 1.50",14.00,SuperValu,20200407
Heineken 0.0 Bottle 12 Pack (330 Millilitre),15.00,"WAS 16.00, NOW 15.00, SAVE 1.00",16.00,SuperValu,20200407
Heineken 12 Can Party Pack (500 Millilitre),15.00,"WAS 19.00, NOW 15.00, SAVE 4.00",19.00,SuperValu,20200407
Hop House 13 Lager Bottle (500 Millilitre),3.25,,,SuperValu,20200407
Karpackie Can 8 pack (500 Millilitre),11.00,"WAS 12.00, NOW 11.00, SAVE 1.00",12.00,SuperValu,20200407
Peroni Nastro  Azzurro (660 Millilitre),3.89,,,SuperValu,20200407
Peroni Nastro Azzurro 4 Pack (330 Millilitre),7.00,"WAS 7.99, NOW 7.00, SAVE 0.99",7.99,SuperValu,20200407
Rockshore Lager Cans 8 Pack (500 Millilitre),12.50,"WAS 13.50, NOW 12.50, SAVE 1.00",13.50,SuperValu,20200407
Sol Bottle 12 Pack (330 Millilitre),12.00,"WAS 16.00, NOW 12.00, SAVE 4.00",16.00,SuperValu,20200407
Bavaria 0.0% Can (500 Millilitre),1.29,,,SuperValu,20200407
Becks Non Alcoholic 6 Pack (275 Millilitre),4.95,,,SuperValu,20200407
Budweiser Bottle 20 Pack (300 Millilitre),18.00,,,SuperValu,20200407
Budweiser Lager 6 Pack Bottle (330 Millilitre),11.50,,,SuperValu,20200407
Budweiser Lager Can 4 Pack (500 Millilitre),7.50,,,SuperValu,20200407
Carling Can (500 Millilitre),1.65,,,SuperValu,20200407
Carlsberg 0.0% 4 Pack (330 Millilitre),7.00,,,SuperValu,20200407
Carlsberg Bottle 20 Pack (300 Millilitre),18.00,,,SuperValu,20200407
Carlsberg Lager 4 Pack (500 Millilitre),7.50,,,SuperValu,20200407
Carlsberg Lager Bottle 6 Pack (330 Millilitre),11.50,,,SuperValu,20200407
Coors Light Bottle 6 Pack (330 Millilitre),11.50,,,SuperValu,20200407
Coors Light Can (500 Millilitre),2.35,,,SuperValu,20200407
Corona Extra 4 Pack (330 Millilitre),7.00,,,SuperValu,20200407
Corona Large Nrb (710 Millilitre),3.50,,,SuperValu,20200407
Corona Light 6 Pack (355 Millilitre),10.00,,,SuperValu,20200407
Corona Light Bottle 12 Pack (355 Millilitre),16.00,,,SuperValu,20200407
Desperados 4 Pack Can (500 Millilitre),9.00,,,SuperValu,20200407
Desperados Bottles 6 Pack (330 Millilitre),10.00,,,SuperValu,20200407
Dutch Gold Cans 6 Pack (500 Millilitre),7.00,,,SuperValu,20200407
Franciscan Well Archway Lager 4 Pack (330 Millilitre),8.00,,,SuperValu,20200407
Heineken 0.0 4 Bottle Wrap Pack (330 Millilitre),6.00,,,SuperValu,20200407
Heineken 0.0 Can 6 Pack (330 Millilitre),6.00,,,SuperValu,20200407
Heineken Bottle 12 Pack (330 Millilitre),14.00,,,SuperValu,20200407
Heineken Bottle 20 Pack (330 Millilitre),22.00,,,SuperValu,20200407
Heineken Bottle 6 Pack (330 Millilitre),11.50,,,SuperValu,20200407
Heineken Can (500 Millilitre),2.29,,,SuperValu,20200407
Heineken Can 4 Pack (500 Millilitre),7.50,,,SuperValu,20200407
Heineken Cans 8 Pack (500 Millilitre),14.00,,,SuperValu,20200407
Heineken Light 4Pack Can (2 Litre),7.00,,,SuperValu,20200407
Heineken Light 6 Pack Bottle (1.98 Litre),10.00,,,SuperValu,20200407
Hop House 13 8pk Can (500 Millilitre),14.00,,,SuperValu,20200407
Miller Gd Bottle 4.7% 20 Pack (330 Millilitre),21.00,,,SuperValu,20200407
Molson Canadian Bottles 20 Pack (330 Millilitre),18.00,,,SuperValu,20200407
Molson Canadian Can (500 Millilitre),2.09,,,SuperValu,20200407
Molson Canadian Cans 8 Pack (500 Millilitre),12.50,,,SuperValu,20200407
OGB Pure Brew Non Alcoholic 4 Pack Bottle (330 Millilitre),6.00,,,SuperValu,20200407
Peroni Libera 0.0% 4 Pack (330 Millilitre),6.50,,,SuperValu,20200407
Peroni Nastro Azzurro 4pk Gluten Free (82.5 Millilitre),9.99,,,SuperValu,20200407
Prazsky 4 Pack (500 Millilitre),5.00,,,SuperValu,20200407
Rockshore Lager 20 Pack Bottle (330 Millilitre),22.00,,,SuperValu,20200407
Rockshore Lager 6 Bottle Pack 330ml (330 Millilitre),11.00,,,SuperValu,20200407
Satzenbrau Can (500 Millilitre),3.09,,,SuperValu,20200407
Sol Bottle 6 Pack (330 Millilitre),10.00,,,SuperValu,20200407
Stella Artois Lager Can (500 Millilitre),1.32,,,SuperValu,20200407
Tennents Can 6 Pack (500 Millilitre),7.00,,,SuperValu,20200407
Tennents Lager Can (500 Millilitre),1.29,,,SuperValu,20200407
Tiger 12Pack Bottle (330 Millilitre),18.00,,,SuperValu,20200407
Tiger Beer Bottle 4 Pack (330 Millilitre),7.00,,,SuperValu,20200407
Tuborg Lager Cans 8 Pack (500 Millilitre),11.50,,,SuperValu,20200407
Guinness Stout Can 12 Pack (500 Millilitre),15.00,"WAS 19.00, NOW 15.00, SAVE 4.00",19.00,SuperValu,20200407
Beamish Draught Stout (500 Millilitre),2.02,,,SuperValu,20200407
Guinness Draught Stout Can (500 Millilitre),2.49,,,SuperValu,20200407
Guinness Draught Stout Can 8 Pack (500 Millilitre),14.50,,,SuperValu,20200407
Guinness Extra Stout 6 Pack Bottles (330 Millilitre),11.50,,,SuperValu,20200407
Guinness Extra Stout Can (500 Millilitre),2.69,,,SuperValu,20200407
Guinness Stout Bottle 4 Pack (500 Millilitre),10.00,,,SuperValu,20200407
Guinness Stout Draught Can (330 Millilitre),2.25,,,SuperValu,20200407
Murphys Draught Can (500 Millilitre),2.50,,,SuperValu,20200407
Smithwick's Irish Ale Bottle (500 Millilitre),3.29,,,SuperValu,20200407
Shepherd Neame Classic Series Ipa (500 Millilitre),3.69,,,SuperValu,20200407
Smithwicks Ale Cans 8 Pack (500 Millilitre),14.50,,,SuperValu,20200407
Vocation Life & Death India Pale Ale (330 Millilitre),2.75,,,SuperValu,20200407
Brooklyn Lager Can (355 Millilitre),2.70,,,SuperValu,20200407
Budejovicky Budvar (500 Millilitre),2.69,,,SuperValu,20200407
Cotton Ball Brewing Co Indian Summer Beer (500 Millilitre),3.50,,,SuperValu,20200407
Erdinger Dunkel Weissbier Bottle (500 Millilitre),2.99,,,SuperValu,20200407
Erdinger Kristal Weissbier Bottle (500 Millilitre),2.99,,,SuperValu,20200407
Erdinger Non-Alcoholic 6 Pack (330 Millilitre),6.99,"WAS 7.99, NOW 6.99, SAVE 1.00",7.99,SuperValu,20200407
Founders All Day IPA (355 Millilitre),2.79,,,SuperValu,20200407
Foxes Rock Gluten Free Lager (500 Millilitre),2.99,,,SuperValu,20200407
Journeyman IPL (500 Millilitre),2.99,,,SuperValu,20200407
Journeyman Pale Ale (500 Millilitre),2.99,,,SuperValu,20200407
